Unnamed: 0,dim1,dim2,dim3,phase,library
SRR11286732,-0.7237769,-0.22855654,-0.65108293,G1-G0 transition,U2OS
SRR11286733,0.8580668,0.5062445,0.08624454,S,U2OS
SRR11286734,0.9592827,-0.030417088,0.28080505,S,U2OS
SRR11286735,0.15260549,-0.3967443,0.9051549,S,U2OS
SRR11286737,-0.25932613,-0.664444,-0.7009024,G1,U2OS
SRR11286738,0.73946476,0.00083424855,0.67319477,S,U2OS
SRR11286739,0.72856987,0.13582398,0.67136997,S,U2OS
SRR11286740,0.97306013,0.008523605,0.23039368,S,U2OS
SRR11286741,0.13777639,-0.48482892,0.8636889,G2M,U2OS
SRR11286742,0.08938879,-0.9959868,-0.0044538737,G1,U2OS
SRR11286743,0.6132514,0.032197516,-0.78923124,G1,U2OS
SRR11286744,-0.7469709,0.6224555,0.2336314,G1-G0 transition,U2OS
SRR11286745,0.29700536,0.12304609,0.94691473,G2M,U2OS
SRR11286746,0.7159001,-0.062506,-0.69539917,G1,U2OS
SRR11286747,0.45051232,0.8102542,-0.374869,G1,U2OS
SRR11286748,0.43596452,-0.8315084,-0.34427997,G1,U2OS
SRR11286749,0.3961255,-0.9180853,-0.014286635,G1,U2OS
SRR11286750,0.67541564,-0.5835116,-0.45091906,G1,U2OS
SRR11286751,-0.35196158,-0.9155234,-0.19478121,G1,U2OS
SRR11286753,0.62716985,0.32376012,-0.7084048,G1,U2OS
SRR11286754,0.30842254,-0.5312077,-0.7891096,G1,U2OS
SRR11286755,0.4959404,-0.8292458,-0.25767133,G1,U2OS
SRR11286756,0.13867232,-0.50971514,-0.84909385,G1,U2OS
SRR11286757,0.27361816,-0.47319338,-0.8373894,G1,U2OS
SRR11286758,-0.7139704,-0.38285145,-0.5862346,G1-G0 transition,U2OS
SRR11286759,0.78484005,0.10863652,-0.6101019,G1,U2OS
SRR11286760,-0.21117122,0.77318853,-0.597985,G1-G0 transition,U2OS
SRR11286761,0.4126947,0.18980534,-0.89087415,G1,U2OS
SRR11286763,0.12631467,-0.5062931,-0.85306036,G1,U2OS
SRR11286764,0.30839342,0.42019603,-0.85342187,G1,U2OS
SRR11286765,0.7787159,0.3258474,-0.5361203,G1,U2OS
SRR11286766,0.39795598,-0.8810564,-0.25567695,G1,U2OS
SRR11286767,0.16575363,0.96233755,-0.21548092,G1-G0 transition,U2OS
SRR11286768,0.2575866,-0.96407706,-0.06484063,G1,U2OS
SRR11286769,-0.1109904,-0.9899189,0.08798632,G1,U2OS
SRR11286770,0.12065647,-0.9806294,0.15429871,G1,U2OS
SRR11286771,0.49451527,-0.74713117,-0.44412798,G1,U2OS
SRR11286772,0.6397904,-0.53278947,-0.55389845,G1,U2OS
SRR11286773,-0.644501,0.11304527,-0.75620055,G1-G0 transition,U2OS
SRR11286774,-0.5536486,0.7194077,0.41943535,G1-G0 transition,U2OS
SRR11286775,-0.27310193,-0.32170588,-0.9065984,G1,U2OS
SRR11286776,-0.018984543,-0.24131526,-0.9702611,G1,U2OS
SRR11286777,0.14390805,-0.98188627,0.12324669,G1,U2OS
SRR11286778,0.392447,-0.19447662,-0.8989796,G1,U2OS
SRR11286779,0.0068606175,-0.95822686,-0.2859268,G1,U2OS
SRR11286780,0.47779462,0.0908785,-0.8737582,G1,U2OS
SRR11286781,-0.20781082,0.6467584,-0.733838,G1-G0 transition,U2OS
SRR11286782,-0.1456734,-0.5724812,-0.8068733,G1,U2OS
SRR11286783,-0.3516477,-0.872569,0.33906814,G1,U2OS
SRR11286784,-0.3105431,0.4638193,-0.8297197,G1-G0 transition,U2OS
SRR11286785,-0.9903346,0.08194139,0.111906245,G1-G0 transition,U2OS
SRR11286786,0.3502033,-0.9365217,-0.016878977,G1,U2OS
SRR11286787,0.46574923,0.26944026,-0.8428995,G1,U2OS
SRR11286788,-0.3141954,0.30831578,-0.897899,G1-G0 transition,U2OS
SRR11286789,0.41391507,-0.60002315,-0.6845776,G1,U2OS
SRR11286790,-0.1174008,-0.9887858,-0.09230307,G1,U2OS
