,Feature,Class,AbsoluteSHAPValue
617,C6orf58,G1-G0 transition,0.0004930777281113169
618,C6orf58,G2M,0.00019141909060683594
619,C6orf58,S,0.00033319519839149274
620,C8orf89,G0,0.00027442987536655124
621,C8orf89,G1,0.0004645268894378238
622,C8orf89,G1-G0 transition,0.0006471912257934763
623,C8orf89,G2M,0.00021702276853812535
624,C8orf89,S,0.00029169407853183674
625,C9orf50,G0,0.0003373907931119649
626,C9orf50,G1,0.0008641389796091536
627,C9orf50,G1-G0 transition,0.000623248210569812
628,C9orf50,G2M,0.00030541449928315676
629,C9orf50,S,0.0002635536046382956
630,CA11,G0,0.0005539282070554364
